id,category,occasionSlug,sourceKey,bucket,reason,shape,extractOk,extractWhy,gate1Hit,entryType,arabicEmpty,translationEmpty,transliterationEmpty,instructionInTranslation,arabicFrameHit,quranNarrativeSubclause
49:148,Invocations for visiting the sick,funeral-illness,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
5:9,What to say when undressing,home-clothing,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
51:150,Invocations of the terminal ill,funeral-illness,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
51:152,Invocations of the terminal ill,funeral-illness,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
53:154,Invocation for when tragedy strikes,funeral-illness,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
54:155,Invocation for closing the eyes of the dead,funeral-illness,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
55:156,Invocations for the dead in the Funeral prayer,funeral-illness,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
55:159,Invocations for the dead in the Funeral prayer,funeral-illness,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
56:160,Invocations for a child in the Funeral prayer,funeral-illness,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
56:161,Invocations for a child in the Funeral prayer,funeral-illness,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
57:162,Invocation for the bereaved,funeral-illness,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
58:163,Invocation to be recited when placing the dead in his grave,funeral-illness,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
59:164,Invocation to be recited after burying the dead,funeral-illness,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
6:10,Invocation for entering the restroom,home-clothing,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
60:165,Invocation for visiting the graves,funeral-illness,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
61:166,Invocations for when the wind blows,weather-nature,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
62:168,Invocation for when it thunder,weather-nature,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
63:169,Some invocations for rain,weather-nature,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
63:170,Some invocations for rain,weather-nature,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
63:171,Some invocations for rain,weather-nature,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
